epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
29,22.8454,1.36042,4.32041,1.46009,0.02941,0.5,0.12437,0.08706,1.53811,3.85365,1.25434,0.000433507,0.000144502,0.000433507,0.000144502,0.000433507,0.000144502,0.000433507,0.000144502
30,23.2693,1.32804,4.32706,1.39782,0.02941,0.5,0.12437,0.08706,1.53811,3.85365,1.25434,0.000442839,0.000147613,0.000442839,0.000147613,0.000442839,0.000147613,0.000442839,0.000147613
31,23.9834,1.52849,4.45967,1.48484,0.03333,0.5,0.16583,0.11608,1.61336,3.85574,1.2931,0.000451748,0.000150583,0.000451748,0.000150583,0.000451748,0.000150583,0.000451748,0.000150583
32,24.3726,1.45231,4.5586,1.50802,0.03333,0.5,0.16583,0.11608,1.61336,3.85574,1.2931,0.000460232,0.000153411,0.000460232,0.000153411,0.000460232,0.000153411,0.000460232,0.000153411
33,25.0918,1.26138,4.49828,1.43505,0.03571,0.5,0.24875,0.17413,1.62049,3.84656,1.27471,0.000468293,0.000156098,0.000468293,0.000156098,0.000468293,0.000156098,0.000468293,0.000156098
34,25.6257,1.08323,4.33588,1.3365,0.03571,0.5,0.24875,0.17413,1.62049,3.84656,1.27471,0.000475929,0.000158643,0.000475929,0.000158643,0.000475929,0.000158643,0.000475929,0.000158643
35,26.8418,1.49961,4.37993,1.49542,0.03846,0.5,0.24875,0.199,1.59417,3.83696,1.24371,0.000483141,0.000161047,0.000483141,0.000161047,0.000483141,0.000161047,0.000483141,0.000161047
36,27.4694,1.3553,4.42876,1.41949,0.03846,0.5,0.24875,0.199,1.59417,3.83696,1.24371,0.000489929,0.00016331,0.000489929,0.00016331,0.000489929,0.00016331,0.000489929,0.00016331
37,28.2607,1.36707,4.31068,1.47079,0.03846,0.5,0.24875,0.199,1.47085,3.81926,1.17343,0.000496293,0.000165431,0.000496293,0.000165431,0.000496293,0.000165431,0.000496293,0.000165431
38,28.6837,1.14706,4.37076,1.3531,0.03846,0.5,0.24875,0.199,1.47085,3.81926,1.17343,0.000502233,0.000167411,0.000502233,0.000167411,0.000502233,0.000167411,0.000502233,0.000167411
